0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
13 14 1
14 15 1
15 16 1
16 17 1
17 18 1
18 19 1
19 20 1
20 21 1
21 22 1
22 23 1
23 24 1
24 25 1
25 26 1
26 27 1
27 28 1
28 29 1
29 30 1
30 31 1
31 32 1
32 33 1
33 34 1
34 35 1
35 36 1
36 37 1
37 38 1
38 39 1
39 40 1
40 41 1
41 42 1
42 43 1
43 44 1
44 45 1
45 46 1
46 47 1
47 48 1
48 49 1
49 50 1
50 51 1
51 52 1
52 53 1
53 54 1
54 55 1
55 56 1
56 57 1
57 58 1
58 59 1
59 60 1
60 61 1
61 62 1
62 63 1
63 0 1
0 2 2
1 3 2
2 4 2
3 5 2
4 6 2
5 7 2
6 8 2
7 9 2
8 10 2
9 11 2
10 12 2
11 13 2
12 14 2
13 15 2
14 16 2
15 17 2
16 18 2
17 19 2
18 20 2
19 21 2
20 22 2
21 23 2
22 24 2
23 25 2
24 26 2
25 27 2
26 28 2
27 29 2
28 30 2
29 31 2
30 32 2
31 33 2
32 34 2
33 35 2
34 36 2
35 37 2
36 38 2
37 39 2
38 40 2
39 41 2
40 42 2
41 43 2
42 44 2
43 45 2
44 46 2
45 47 2
46 48 2
47 49 2
48 50 2
49 51 2
50 52 2
51 53 2
52 54 2
53 55 2
54 56 2
55 57 2
56 58 2
57 59 2
58 60 2
59 61 2
60 62 2
61 63 2
62 0 2
63 1 2
