LightGraphs.SimpleWeightedGraph,4,6,u,Shastry-Sutherland_N4,1,Int64,Float64,simpleweightedgraph
1,2,1.0
1,3,1.0
2,3,2.0
1,4,2.0
2,4,1.0
3,4,1.0
LightGraphs.SimpleWeightedGraph,16,40,u,Shastry-Sutherland_N16,1,Int64,Float64,simpleweightedgraph
1,2,1.0
2,3,1.0
1,4,1.0
3,4,1.0
1,5,1.0
1,6,2.0
2,6,1.0
5,6,1.0
3,7,1.0
6,7,1.0
3,8,2.0
4,8,1.0
5,8,1.0
7,8,1.0
5,9,1.0
6,10,1.0
7,10,2.0
9,10,1.0
7,11,1.0
10,11,1.0
5,12,2.0
8,12,1.0
9,12,1.0
11,12,1.0
1,13,1.0
4,13,2.0
9,13,1.0
2,14,1.0
9,14,2.0
10,14,1.0
13,14,1.0
2,15,2.0
3,15,1.0
11,15,1.0
14,15,1.0
4,16,1.0
11,16,2.0
12,16,1.0
13,16,1.0
15,16,1.0
LightGraphs.SimpleWeightedGraph,36,90,u,Shastry-Sutherland_N36,1,Int64,Float64,simpleweightedgraph
1,2,1.0
2,3,1.0
3,4,1.0
4,5,1.0
1,6,1.0
5,6,1.0
1,7,1.0
1,8,2.0
2,8,1.0
7,8,1.0
3,9,1.0
8,9,1.0
3,10,2.0
4,10,1.0
9,10,1.0
5,11,1.0
10,11,1.0
5,12,2.0
6,12,1.0
7,12,1.0
11,12,1.0
7,13,1.0
8,14,1.0
9,14,2.0
13,14,1.0
9,15,1.0
14,15,1.0
10,16,1.0
11,16,2.0
15,16,1.0
11,17,1.0
16,17,1.0
7,18,2.0
12,18,1.0
13,18,1.0
17,18,1.0
13,19,1.0
13,20,2.0
14,20,1.0
19,20,1.0
15,21,1.0
20,21,1.0
15,22,2.0
16,22,1.0
21,22,1.0
17,23,1.0
22,23,1.0
17,24,2.0
18,24,1.0
19,24,1.0
23,24,1.0
19,25,1.0
20,26,1.0
21,26,2.0
25,26,1.0
21,27,1.0
26,27,1.0
22,28,1.0
23,28,2.0
27,28,1.0
23,29,1.0
28,29,1.0
19,30,2.0
24,30,1.0
25,30,1.0
29,30,1.0
1,31,1.0
6,31,2.0
25,31,1.0
2,32,1.0
25,32,2.0
26,32,1.0
31,32,1.0
2,33,2.0
3,33,1.0
27,33,1.0
32,33,1.0
4,34,1.0
27,34,2.0
28,34,1.0
33,34,1.0
4,35,2.0
5,35,1.0
29,35,1.0
34,35,1.0
6,36,1.0
29,36,2.0
30,36,1.0
31,36,1.0
35,36,1.0
LightGraphs.SimpleWeightedGraph,64,160,u,Shastry-Sutherland_N64,1,Int64,Float64,simpleweightedgraph
1,2,1.0
2,3,1.0
3,4,1.0
4,5,1.0
5,6,1.0
6,7,1.0
1,8,1.0
7,8,1.0
1,9,1.0
1,10,2.0
2,10,1.0
9,10,1.0
3,11,1.0
10,11,1.0
3,12,2.0
4,12,1.0
11,12,1.0
5,13,1.0
12,13,1.0
5,14,2.0
6,14,1.0
13,14,1.0
7,15,1.0
14,15,1.0
7,16,2.0
8,16,1.0
9,16,1.0
15,16,1.0
9,17,1.0
10,18,1.0
11,18,2.0
17,18,1.0
11,19,1.0
